Intent,Response,Intent (Roman Urdu),Response (Roman Urdu)
What does it mean if my period blood is pink?,"Spotting is any bleeding that happens outside of your regular period. Some people experience spotting mid-cycle, also known as ovulation bleeding. Bleeding that mixes with fertile cervical fluid can appear light red or pinkish.

Watery, pink vaginal discharge that occurs irregularly (without a pattern and not related to your menstrual cycle) may be a sign of cervical cancer and should be evaluated by a healthcare provider ",agar mera mahvari ka khoon gulaabii ho to is ka kya matlab hai ?,"spotting koi bhi khoon behna hai jo aap ke mamool ke dorania se bahar hota hai. kuch logon ko darmiyani chakkar mein dhabbay nazar atay hain, jisay baizvi khoon behna bhi kaha jata hai. khoon behna jo zarkhaiz cervical seyal/fluid ke sath mil jata hai halka surkh ya gulaabii zahir ho sakta hai .
 
 pani daar, gulaabii andaam nihani/vagina se kharij honay wala madah/fluid jo be qaida tor par hota hai ( baghair kisi patteren ke aur aap ke mahvari se mutaliq nahi ) garewa ke cancer ki alamat ho sakti hai aur is ka andaza sehat ki dekh bhaal faraham karne walay se karana chahiye ."
What does it mean if my period blood is gray?,"If you have grayish discharge, this could be a sign of an infection. If you experience heavy bleeding with pieces of grayish tissue, this could be a sign of a miscarriage. Seeing a healthcare provider is recommended for either situation.",is ka kya matlab hai agar mera mahvari ka khoon giray ho ?,"agar aap ko surmai rang ka madah/fluid hai to yeh infection ki alamat ho sakti hai. agar aap ko surmai bafton ke tukron ke sath bohat ziyada khoon beh raha hai, to yeh isqaat hamal ki alamat ho sakti hai. kisi bhi soorat e haal ke liye sehat ki dekh bhaal faraham karne walay ko dekhnay ki sifarish ki jati hai ."
"That was informative, bye","Glad to be of help, take care.","yeh malomati tha, ’alvidah’","madad kar ke khushi hui, khayaal rakhna ."
"What is the difference between my period, spotting, and bleeding?","The lines between menstrual bleeding (i.e. your period), spotting, and non-menstrual bleeding can get kind of confusing. Menstrual bleeding is bleeding that is associated with the shedding of the endometrium at the end of the menstrual cycle. Spotting has different definitions, depending on who you ask.","meri mahvari, dhabbay aur khoon behnay mein kya farq hai ?","mahvari ka khoon behna ( yani aap ki mahvari ), daghdar hona, aur ghair mahvari khoon behnay ke darmiyan ki lakerain uljan ka baais ban sakti hain. mahvari ka khoon behna woh khoon hai jo mahvari ke ekhtataam par endometrium ke behnay se hota hai. spotting ki mukhtalif tareefen hain, is par munhasir hai ke aap kis se puchhte hain ."
what is spotting?,"Researchers and healthcare providers often describe spotting as bleeding that doesn’t require sanitary protection (e.g. you don’t need to use a pad or tampon).

However, this is kind of an arbitrary definition. Even if bleeding isn’t heavy, some people may just choose to use protection anyway.

In theory, spotting can happen at any time during your cycle, so around the period or between periods. Bleeding that doesn’t seem to be associated with the period, such as bleeding during the middle of your cycle, that requires sanitary protection is called non-menstrual bleeding. Sometimes people describe this bleeding as heavy spotting.",spotting kya hai ?,"mohqiqeen aur sehat ki dekh bhaal faraham karne walay aksar spotting ko khoon behnay ke tor par bayan karte hain jis ke liye sinitri tahaffuz ki zaroorat nahi hoti hai ( misaal ke tor par aap ko pad ya tempon istemaal karne ki zaroorat nahi hai ) .
 
 taham, yeh aik sawab dedi tareef hai. yahan tak ke agar khoon bohat ziyada nahi hai, kuch log sirf tahaffuz istemaal karne ka intikhab kar satke hain .
 
 usooli tor par, aap ke cycle ke douran kisi bhi waqt daagh lag sakta hai, is liye muddat ke ird gird ya adwaar ke darmiyan. aisa khoon behna jo muddat se wabasta nahi lagta, jaisay aap ke cycle ke wast mein khoon behna, jis ke liye sinitri tahaffuz ki zaroorat hoti hai, ghair mahvari khoon behna kehlata hai. baaz auqaat log is khoon ko bhaari dhabbay ke tor par bayan karte hain ."
How does spotting differ from light period bleeding?,"Sometimes people describe light bleeding that occurs at the beginning or end of their period as spotting.

It can be hard to differentiate spotting from menstrual bleeding by just looking at the amount. Generally, if you have light bleeding that occurs within two days of your period, you should consider that part of your period, not spotting. However, if it’s very, very light—like you only see a little on your toilet paper—that probably could be considered spotting.

For example, if you have light bleeding on Sunday, no bleeding on Monday, and bleed enough to require a tampon on Tuesday, you should consider Sunday the start of your period.",thora khoon behnay se spotting kaisay mukhtalif hai ?,"baaz auqaat log halkay se khoon behnay ki wazahat karte hain jo un ki muddat ke aaghaz ya ekhtataam par hota hai jaisay dhabba .
 
 sirf miqdaar ko dekh kar mahvari ke khoon se dhabbon mein farq karna mushkil ho sakta hai. aam tor par, agar aap ko halka khoon beh raha hai jo aap ki mahvari ke do din ke andar hota hai, to aap ko apni mahvari ke is hissay par ghhor karna chahiye, nah ke dhabba. taham, agar yeh bohat, bohat halka hai — jaisay ke aap ko –apne toilet paper par thora sa nazar aata hai — jisay shayad spotting samjha ja sakta hai .
 
 misaal ke tor par, agar aap ko itwaar ko halka khoon aata hai, paiir ko koi khoon nahi aata hai, aur mangal ko tempon ki zaroorat ke liye itna khoon behta hai, to aap ko itwaar ko apni mahvari ke aaghaz par ghhor karna chahiye ."
Do I need to worry if I am spotting between my periods,"Spotting can come from your upper reproductive tract (like your uterus) or your lower reproductive tract (like your cervix or vagina). Spotting is different from your period, which is the cyclical shedding of your uterine lining, your endometrium. Heavier spotting is most often from the uterus, while lighter spotting can come from the upper or lower tract.",kya mujhe pareshan honay ki zaroorat hai agar mein apne mahvari ke darmiyan dekh rahi hon ?,"dhabbay aap ke oopri toleedi rastay ( jaisay aap ke bacha daani/uterus ) ya aap ke nichale toleedi rastay ( jaisay aap ki garewa ya andaam nihani/vagina ) se asaktay hain. spotting aap ki muddat se mukhtalif hai, jo ke aap ke reham ke aster/lining , aap ke endometrium ki cyclicalshedding hai. bhaari dhabbay aksar bacha daani/uterus se hotay hain, jabkay halkay dhabbay oopri ya nichale rastay se asaktay hain ."
What are Common causes of spotting,"There are several reasons why you might be spotting, hormonal contraceptions, pregancy, ovulation and hormonal issues. Would you like to know more about it?",daagh lagnay ki aam wajohaat kya hain ?,"aap ko daghdar honay ki kayi wajohaat hain, hormonal Maney hamal, hamal, baizvi aur hormonal masail. kya aap is ke baray mein mazeed janna chahain ge ?"
Yes please,"Spotting is a common side effect of hormonal contraception, especially during the first few months of starting a new method. Do you want to know about spotting in pregnancy?",jee haan baraye meharbani,"hormonal Maney hamal ka aik aam zimni assar hai, khaas tor par naya tareeqa shuru karne ke pehlay chand mahino ke douran. kya aap hamal mein dhabbon ke baray mein janna chahtay hain ?"
Yes I want to know about pregancy causing spotting,"Sure. Spotting is also a common symptom of early pregnancy. About 1 in 4 people experience spotting, usually about 1 to 4 weeks after someone expects their period.If you are worried about having a miscarriage, then worry not. However, heavy spotting or bleeding may be more of a concern. If you’re pregnant and bleeding, call your healthcare provider to let them know what’s going on. 

Spotting can be a symptom of an ectopic pregnancy, a pregnancy that is growing somewhere other than the uterus, usually the fallopian tube. Ectopic pregnancy bleeding may be coupled with other symptoms including abdominal pain on one side, shoulder pain, and/or dizziness. If you experience symptoms of spotting and suspect you may have an ectopic pregnancy, seek immediate medical help.",haan mein hamal ke baray mein janna chahta hon jis ki wajah se daagh lagtay hain .,"zaroor daagh dhabbon ka hona bhi ibtidayi hamal ki aik aam alamat hai. taqreeban 4 mein se 1 logon ko dhabbay lagnay ka tajurbah hota hai, aam tor par kisi ko mahvari ki tawaqqa ke taqreeban 1 se 4 haftay baad. agar aap isqaat hamal honay ke baray mein fikar mand hain, to fikar nah karen. taham, bhaari dhabbay ya khoon behna tashweesh ka baais ho sakta hai. agar aap haamla hain aur khoon beh raha hai, to –apne health care faraham kanandah ko cal karen taakay woh bitayen ke kya ho raha hai .
 
 dhabbay aana ectopic hamal ki alamat ho sakta hai, aisa hamal jo bacha daani/uterus, aam tor par falopeen tube ke ilawa kahin aur barh raha ho. ectopic hamal se khoon behna deegar alamaat ke sath mil sakta hai jis mein aik taraf pait mein dard, kandhay mein dard, aur chakkar aana shaamil hain. agar aap ko dhabbon ki alamaat ka saamna hai aur aap ko shuba hai ke aap ko ectopic hamal ho sakta hai, to fori tibbi madad haasil karen ."
"Oh I see, what does ovulation and hormonal issues have to do with spotting?",Spotting can also occur around the time of ovulation. It’s unclear why some people experience ovulation bleeding while others don’t—some research suggests it happens in people who have higher levels of some hormones.,"oh mein daikhta hon, beza daani/ovary aur hormonal masail ka dhabbon se kya talluq hai ?",beza daani/ovary ke waqt ke aas paas bhi dhabbay par satke hain. yeh wazeh nahi hai ke kyun kuch logon ko baizvi khoon behnay ka tajurbah hota hai jabkay doosron ko nahi hota hai — kuch tehqeeq batati hai ke yeh un logon mein hota hai jin mein kuch hormones ki satah ziyada hoti hai .
Is there any link between physical conditions or infections and spotting?,"Physical conditions, infections, and spotting Spotting can also be caused by infections and physical changes in the reproductive tract, or hormonal imbalances. Physical conditions that can cause spotting episodes include fibroids, polyps and endometriosis. Pelvic inflammatory disease (PID), which happens when certain pelvic infections (like STIs) go untreated, can also be another culprit for unscheduled spotting. Urinary tract infections (UTIs) can cause bleeding from the urethra (where you pee from, between your clitoris and vagina). Consistently spotting after penetrative vaginal intercourse is not considered normal. Bleeding after sex is often caused by an issue with the cervix or polyps. Some people may experience spotting after their first intercourse experience, which is normal. If you’re noticing spotting after sex, talk to your healthcare provider.",kya jismani halaat ya infection aur spotting ke darmiyan koi talluq hai ?,"jismani halaat, infection, aur dhabbay dhabbay dhabbay bhi infections aur toleedi rastay mein jismani tabdeelion, ya hormonal Adam tawazun ki wajah se ho satke hain. jismani halaat jo daghdar aqsat ka sabab ban satke hain un mein fibroids, polyps aur endometriosis shaamil hain. shoroni soozish ki bemari ( pid ), jo is waqt hoti hai jab baaz shoroni infection ( jaisay stis ) ka ilaaj nahi kya jata hai, ghair tay shuda dhabbon ke liye aik aur mujrim bhi ho sakta hai. pishaab ki naali ke infection ( utis ) pishaab ki naali ( jahan se aap pishaab karte hain, aap ke clitoris aur andaam nihani/vagina ke darmiyan ) se khoon beh sakta hai. dukhool andaam nihani/vagina jamaa ke baad mustaqil tor par dhabbon ko aam nahi samjha jata hai. jinsi taluqaat ke baad khoon behna aksar garewa ya polyps ke maslay ki wajah se hota hai. kuch logon ko –apne pehlay jamaa ke tajarbay ke baad dhabbon ka tajurbah ho sakta hai, jo ke aam baat hai. agar aap jinsi taluqaat ke baad dhabbay dekh rahay hain to –apne health care faraham kanandah se baat karen ."
how do you know when ovulation is happening?,"As ovulation approaches, your body produces more cervical fluid. You can see this fluid in your underwear or on toilet paper when you use the bathroom. It becomes stretchier, clearer, and more wet and slippery—like a raw egg white. This fluid tends to “peak” about 1 to 2 days before ovulation, when estrogen is highest. Some people feel ovulation pain or “mittelschmerz”—a sharp or cramp-like pain felt on either side of the lower abdomen, that can last a few hours or days.

Tracking your basal body temperature (BBT) can also allow you to detect ovulation — as progesterone rises to prepare the uterus for implantation of a fertilized , it causes a slight increase in your BBT. You can also use ovulation prediction tests/kits (OPKs).",aap kaisay jantay hain ke ovulation kab ho raha hai ?,"jaisay jaisay beza qareeb aata hai, aap ka jism ziyada cervical seyal/fluid peda karta hai. jab aap baath room istemaal karte hain to aap is seyal/fluid ko –apne zair jama ya toilet paper par dekh satke hain. yehstretcher, saaf, aur ziyada geela aur phislan ho jata hai — jaisay kachay anday ki safedi. yeh seyal/fluid beza daani/ovary se taqreeban 1 se 2 din pehlay"" chouti"" ki taraf jata hai, jab estrogen sab se ziyada hota hai. kuch log baizvi dard ya"" mittelschmerz"" mehsoos karte hain - pait ke nichale hissay ke dono taraf mehsoos honay wala taiz ya dard jaisa dard, jo chand ghanton ya dinon tak jari reh sakta hai .
 
 –apne bunyadi jismani darja hararat ( bbt ) ka suraagh lagana bhi aap ko beza daani/ovary ka pata laganay ki ijazat day sakta hai - jaisa ke progestrone bacha daani/uterus ko fertilized ke inplantation ke liye tayyar karne ke liye barhta hai, is se aap ke bi bi tea mein mamooli izafah hota hai. aap ovulation prediction testskits ( opks ) bhi istemaal kar satke hain ."
